ID,Name,Relic Set,Body,Feet,Planetary Set,Planar Sphere,Link Rope,Substats,Light Cones
0,Argenti,"Champion of Streetwise Boxing, Musketeer of Wild Wheat, Pioneer Diver of Dead Waters, Messenger Traversing Hackerspace","CRIT DMG, CRIT Rate","Speed, ATK%","Firmament Frontline: Glamoth, Inert Salsotto, Rutilant Arena","Physical DMG, ATK%",ATK%,SPD (Breakpoint) > CRIT RATE = CRIT DMG > ATK%,"An Instant Before A Gaze (S1), Night on the Milky Way (S1), Today Is Another Peaceful Day (S5), Geniuses' Repose (S5), Before Dawn (S1), The Day The Cosmos Fell (S5), The Seriousness of Breakfast (S5), Make the World Clamor (S5)"
1,Arlan,"Pioneer Diver of Dead Waters, Band of Sizzling Thunder, Longevous Disciple, Musketeer of Wild Wheat","CRIT Rate, CRIT DMG",Speed,"Rutilant Arena, Firmament Frontline: Glamoth, Space Sealing Station","Lightning DMG, ATK%",ATK%,SPD (Breakpoint) > CRIT RATE = CRIT DMG > ATK%,"On the Fall of an Aeon (S5), The Unreachable Side (S1), Under the Blue Sky (S5), The Moles Welcome You (S5), A Secret Vow (S5)"
2,Asta,"Messenger Traversing Hackerspace, Longevous Disciple, Musketeer of Wild Wheat, Watchmaker, Master of Dream Machinations","HP%, DEF%",Speed,"Fleet of the Ageless, Broken Keel, Penacony, Land of the Dreams, Sprightly Vonwacq","HP%, DEF%",Energy Regen Rate,SPD (Until breakpoint) > HP = DEF > EFF RES% (30% If using Broken Keel),"Memories of the Past (S5), Meshing Cogs (S5), But the Battle Isn't Over (S1), Planetary Rendezvous (S1), Dance! Dance! Dance! (S1)"
3,Bailu,"Messenger Traversing Hackerspace, Passerby of Wandering Cloud, Longevous Disciple","Outgoing Healing, HP%",Speed,"Fleet of the Ageless, Broken Keel, Sprightly Vonwacq, Penacony, Land of the Dreams",HP%,Energy Regen Rate,SPD (breakpoint) > HP% > EFF RES% = DEF%,"Night of Fright (S1), Time Waits for No One (S1), Multiplication (S5), Post-Op Conversation (S5), Perfect Timing (S5), Hey, Over Here (S5), Quid Pro Quo (S5)"
5,Black Swan,"Prisoner in Deep Confinement, Pioneer Diver of Dead Waters, Musketeer of Wild Wheat, Eagle of Twilight Line, Messenger Traversing Hackerspace","Effect HIT Rate, ATK%",Speed,"Pan-Cosmic Commercial Enterprise, Firmament Frontline: Glamoth, Space Sealing Station","Wind DMG, ATK%",ATK%,EHR (Until 100-120%) > SPD (Until breakpoint) > ATK% > Break Effect,"Reforged Remembrance (S1), Patience Is All You Need (S1), Eyes of the Prey (S5), Good Night and Sleep Well (S5), It's Showtime (S5), Before the Tutorial Mission Starts (S5), Fermata (S5), Solitary Healing (S5)"
6,Blade,"Longevous Disciple, Pioneer Diver of Dead Waters, Messenger Traversing Hackerspace, Eagle of Twilight Line, Musketeer of Wild Wheat","CRIT DMG, CRIT Rate",Speed,"Rutilant Arena, Inert Salsotto, Firmament Frontline: Glamoth","Wind DMG, HP%",HP%,SPD (breakpoint) > CRIT RATE = CRIT DMG > HP%,"The Unreachable Side (S1), A Secret Vow (S5), Flames Afar (S5), On the Fall of an Aeon (S5)"
7,Bronya,"Messenger Traversing Hackerspace, Longevous Disciple, Guard of Wuthering Snow, Musketeer of Wild Wheat",CRIT DMG,Speed,"Broken Keel, Fleet of the Ageless, Penacony, Land of the Dreams","HP%, DEF%",Energy Regen Rate,SPD (Until breakpoint) > CRIT DMG% > HP = DEF > EFF RES% (30% If Keel),"But the Battle Isn't Over (S1), Planetary Rendezvous (S5), Past and Future (S5), Carve the Moon, Weave the Clouds (S1), Dance! Dance! Dance! (S1), Meshing Cogs (S5)"
8,Clara,"Pioneer Diver of Dead Waters, Champion of Streetwise Boxing, Longevous Disciple, The Ashblazing Grand Duke, Musketeer of Wild Wheat","CRIT Rate, CRIT DMG",ATK%,"Firmament Frontline: Glamoth, Inert Salsotto, Rutilant Arena","Physical DMG, ATK%",ATK%,SPD (breakpoint if desired) = CRIT RATE = CRIT DMG > ATK%,"Brighter Than the Sun (S1), On the Fall of an Aeon (S5), Under the Blue Sky (S5), Something Irreplaceable (S1), The Unreachable Side (S1), A Secret Vow (S5)"
9,Dan Heng,"Pioneer Diver of Dead Waters, Musketeer of Wild Wheat, Eagle of Twilight Line, Messenger Traversing Hackerspace","CRIT Rate, CRIT DMG","ATK%, Speed","Firmament Frontline: Glamoth, Rutilant Arena, Space Sealing Station","Wind DMG, ATK%",ATK%,SPD (breakpoint) = CRIT RATE = CRIT DMG > ATK%,"In the Night (S1), Swordplay (S5), Only Silence Remains (S5), Cruising in the Stellar Sea (S5), Sleep Like the Dead (S1), Return to Darkness (S5)"
11,Dan Heng - Imbibitor Lunae,"Wastelander of Banditry Desert, Musketeer of Wild Wheat, Pioneer Diver of Dead Waters","CRIT DMG, CRIT Rate","Speed, ATK%","Rutilant Arena, Firmament Frontline: Glamoth, Space Sealing Station","Imaginary DMG, ATK%",ATK%,SPD (breakpoint) = CRIT RATE = CRIT DMG > ATK%,"Brighter Than the Sun (S1), On the Fall of an Aeon (S5), Under the Blue Sky (S5), A Secret Vow (S5)"
